n,k,p,soil,zone,crop
348.0,87.0,174.0,alluvial,trans gangetic plain region,wheat
352.0,88.0,176.0,alluvial,trans gangetic plain region,wheat
356.0,89.0,178.0,alluvial,trans gangetic plain region,wheat
360.0,90.0,180.0,alluvial,trans gangetic plain region,wheat
364.0,91.0,182.0,alluvial,trans gangetic plain region,wheat
368.0,92.0,184.0,alluvial,trans gangetic plain region,wheat
372.0,93.0,186.0,alluvial,trans gangetic plain region,wheat
376.0,94.0,188.0,alluvial,trans gangetic plain region,wheat
380.0,95.0,190.0,alluvial,trans gangetic plain region,wheat
384.0,96.0,192.0,alluvial,trans gangetic plain region,wheat
388.0,97.0,194.0,alluvial,trans gangetic plain region,wheat
392.0,98.0,196.0,alluvial,trans gangetic plain region,wheat
396.0,99.0,198.0,alluvial,trans gangetic plain region,wheat
400.0,100.0,200.0,alluvial,trans gangetic plain region,wheat
404.0,101.0,202.0,alluvial,trans gangetic plain region,wheat
408.0,102.0,204.0,alluvial,trans gangetic plain region,wheat
412.0,103.0,206.0,alluvial,trans gangetic plain region,wheat
416.0,104.0,208.0,alluvial,trans gangetic plain region,wheat
420.0,105.0,210.0,alluvial,trans gangetic plain region,wheat
424.0,106.0,212.0,alluvial,trans gangetic plain region,wheat
428.0,107.0,214.0,alluvial,trans gangetic plain region,wheat
432.0,108.0,216.0,alluvial,trans gangetic plain region,wheat
436.0,109.0,218.0,alluvial,trans gangetic plain region,wheat
440.0,110.0,220.0,alluvial,trans gangetic plain region,wheat
444.0,111.0,222.0,alluvial,trans gangetic plain region,wheat
448.0,112.0,224.0,alluvial,trans gangetic plain region,wheat
452.0,113.0,226.0,alluvial,trans gangetic plain region,wheat
456.0,114.0,228.0,alluvial,trans gangetic plain region,wheat
460.0,115.0,230.0,alluvial,trans gangetic plain region,wheat
464.0,116.0,232.0,alluvial,trans gangetic plain region,wheat
468.0,117.0,234.0,alluvial,trans gangetic plain region,wheat
472.0,118.0,236.0,alluvial,trans gangetic plain region,wheat
476.0,119.0,238.0,alluvial,trans gangetic plain region,wheat
480.0,120.0,240.0,alluvial,trans gangetic plain region,wheat
484.0,121.0,242.0,alluvial,trans gangetic plain region,wheat
488.0,122.0,244.0,alluvial,trans gangetic plain region,wheat
492.0,123.0,246.0,alluvial,trans gangetic plain region,wheat
496.0,124.0,248.0,alluvial,trans gangetic plain region,wheat
500.0,125.0,250.0,alluvial,trans gangetic plain region,wheat
504.0,126.0,252.0,alluvial,trans gangetic plain region,wheat
508.0,127.0,254.0,alluvial,trans gangetic plain region,wheat
512.0,128.0,256.0,alluvial,trans gangetic plain region,wheat
516.0,129.0,258.0,alluvial,trans gangetic plain region,wheat
520.0,130.0,260.0,alluvial,trans gangetic plain region,wheat
524.0,131.0,262.0,alluvial,trans gangetic plain region,wheat
528.0,132.0,264.0,alluvial,trans gangetic plain region,wheat
532.0,133.0,266.0,alluvial,trans gangetic plain region,wheat
536.0,134.0,268.0,alluvial,trans gangetic plain region,wheat
540.0,135.0,270.0,alluvial,trans gangetic plain region,wheat
544.0,136.0,272.0,alluvial,trans gangetic plain region,wheat
548.0,137.0,274.0,alluvial,trans gangetic plain region,wheat
552.0,138.0,276.0,alluvial,trans gangetic plain region,wheat
556.0,139.0,278.0,alluvial,trans gangetic plain region,wheat
560.0,140.0,280.0,alluvial,trans gangetic plain region,wheat
564.0,141.0,282.0,alluvial,trans gangetic plain region,wheat
568.0,142.0,284.0,alluvial,trans gangetic plain region,wheat
572.0,143.0,286.0,alluvial,trans gangetic plain region,wheat
576.0,144.0,288.0,alluvial,trans gangetic plain region,wheat
580.0,145.0,290.0,alluvial,trans gangetic plain region,wheat
584.0,146.0,292.0,alluvial,trans gangetic plain region,wheat
588.0,147.0,294.0,alluvial,trans gangetic plain region,wheat
592.0,148.0,296.0,alluvial,trans gangetic plain region,wheat
596.0,149.0,298.0,alluvial,trans gangetic plain region,wheat
600.0,150.0,300.0,alluvial,trans gangetic plain region,wheat
604.0,151.0,302.0,alluvial,trans gangetic plain region,wheat
608.0,152.0,304.0,alluvial,trans gangetic plain region,wheat
612.0,153.0,306.0,alluvial,trans gangetic plain region,wheat
616.0,154.0,308.0,alluvial,trans gangetic plain region,wheat
620.0,155.0,310.0,alluvial,trans gangetic plain region,wheat
624.0,156.0,312.0,alluvial,trans gangetic plain region,wheat
628.0,157.0,314.0,alluvial,trans gangetic plain region,wheat
632.0,158.0,316.0,alluvial,trans gangetic plain region,wheat
636.0,159.0,318.0,alluvial,trans gangetic plain region,wheat
640.0,160.0,320.0,alluvial,trans gangetic plain region,wheat
644.0,161.0,322.0,alluvial,trans gangetic plain region,wheat
648.0,162.0,324.0,alluvial,trans gangetic plain region,wheat
652.0,163.0,326.0,alluvial,trans gangetic plain region,wheat
656.0,164.0,328.0,alluvial,trans gangetic plain region,wheat
660.0,165.0,330.0,alluvial,trans gangetic plain region,wheat
664.0,166.0,332.0,alluvial,trans gangetic plain region,wheat
668.0,167.0,334.0,alluvial,trans gangetic plain region,wheat
672.0,168.0,336.0,alluvial,trans gangetic plain region,wheat
676.0,169.0,338.0,alluvial,trans gangetic plain region,wheat
680.0,170.0,340.0,alluvial,trans gangetic plain region,wheat
684.0,171.0,342.0,alluvial,trans gangetic plain region,wheat
688.0,172.0,344.0,alluvial,trans gangetic plain region,wheat
692.0,173.0,346.0,alluvial,trans gangetic plain region,wheat
696.0,174.0,348.0,alluvial,trans gangetic plain region,wheat
700.0,175.0,350.0,alluvial,trans gangetic plain region,wheat
704.0,176.0,352.0,alluvial,trans gangetic plain region,wheat
708.0,177.0,354.0,alluvial,trans gangetic plain region,wheat
712.0,178.0,356.0,alluvial,trans gangetic plain region,wheat
716.0,179.0,358.0,alluvial,trans gangetic plain region,wheat
720.0,180.0,360.0,alluvial,trans gangetic plain region,wheat
724.0,181.0,362.0,alluvial,trans gangetic plain region,wheat
728.0,182.0,364.0,alluvial,trans gangetic plain region,wheat
732.0,183.0,366.0,alluvial,trans gangetic plain region,wheat
736.0,184.0,368.0,alluvial,trans gangetic plain region,wheat
740.0,185.0,370.0,alluvial,trans gangetic plain region,wheat
744.0,186.0,372.0,alluvial,trans gangetic plain region,wheat
748.0,187.0,374.0,alluvial,trans gangetic plain region,wheat
752.0,188.0,376.0,alluvial,trans gangetic plain region,wheat
756.0,189.0,378.0,alluvial,trans gangetic plain region,wheat
760.0,190.0,380.0,alluvial,trans gangetic plain region,wheat
764.0,191.0,382.0,alluvial,trans gangetic plain region,wheat
768.0,192.0,384.0,alluvial,trans gangetic plain region,wheat
772.0,193.0,386.0,alluvial,trans gangetic plain region,wheat
776.0,194.0,388.0,alluvial,trans gangetic plain region,wheat
780.0,195.0,390.0,alluvial,trans gangetic plain region,wheat
784.0,196.0,392.0,alluvial,trans gangetic plain region,wheat
788.0,197.0,394.0,alluvial,trans gangetic plain region,wheat
792.0,198.0,396.0,alluvial,trans gangetic plain region,wheat
796.0,199.0,398.0,alluvial,trans gangetic plain region,wheat
800.0,200.0,400.0,alluvial,trans gangetic plain region,wheat
804.0,201.0,402.0,alluvial,trans gangetic plain region,wheat
808.0,202.0,404.0,alluvial,trans gangetic plain region,wheat
812.0,203.0,406.0,alluvial,trans gangetic plain region,wheat
816.0,204.0,408.0,alluvial,trans gangetic plain region,wheat
820.0,205.0,410.0,alluvial,trans gangetic plain region,wheat
824.0,206.0,412.0,alluvial,trans gangetic plain region,wheat
828.0,207.0,414.0,alluvial,trans gangetic plain region,wheat
832.0,208.0,416.0,alluvial,trans gangetic plain region,wheat
836.0,209.0,418.0,alluvial,trans gangetic plain region,wheat
840.0,210.0,420.0,alluvial,trans gangetic plain region,wheat
844.0,211.0,422.0,alluvial,trans gangetic plain region,wheat
848.0,212.0,424.0,alluvial,trans gangetic plain region,wheat
852.0,213.0,426.0,alluvial,trans gangetic plain region,wheat
856.0,214.0,428.0,alluvial,trans gangetic plain region,wheat
860.0,215.0,430.0,alluvial,trans gangetic plain region,wheat
864.0,216.0,432.0,alluvial,trans gangetic plain region,wheat
868.0,217.0,434.0,alluvial,trans gangetic plain region,wheat
872.0,218.0,436.0,alluvial,trans gangetic plain region,wheat
876.0,219.0,438.0,alluvial,trans gangetic plain region,wheat
880.0,220.0,440.0,alluvial,trans gangetic plain region,wheat
884.0,221.0,442.0,alluvial,trans gangetic plain region,wheat
888.0,222.0,444.0,alluvial,trans gangetic plain region,wheat
892.0,223.0,446.0,alluvial,trans gangetic plain region,wheat
896.0,224.0,448.0,alluvial,trans gangetic plain region,wheat
900.0,225.0,450.0,alluvial,trans gangetic plain region,wheat
904.0,226.0,452.0,alluvial,trans gangetic plain region,wheat
908.0,227.0,454.0,alluvial,trans gangetic plain region,wheat
912.0,228.0,456.0,alluvial,trans gangetic plain region,wheat
916.0,229.0,458.0,alluvial,trans gangetic plain region,wheat
920.0,230.0,460.0,alluvial,trans gangetic plain region,wheat
924.0,231.0,462.0,alluvial,trans gangetic plain region,wheat
928.0,232.0,464.0,alluvial,trans gangetic plain region,wheat
932.0,233.0,466.0,alluvial,trans gangetic plain region,wheat
936.0,234.0,468.0,alluvial,trans gangetic plain region,wheat
940.0,235.0,470.0,alluvial,trans gangetic plain region,wheat
944.0,236.0,472.0,alluvial,trans gangetic plain region,wheat
948.0,237.0,474.0,alluvial,trans gangetic plain region,wheat
952.0,238.0,476.0,alluvial,trans gangetic plain region,wheat
956.0,239.0,478.0,alluvial,trans gangetic plain region,wheat
960.0,240.0,480.0,alluvial,trans gangetic plain region,wheat
964.0,241.0,482.0,alluvial,trans gangetic plain region,wheat
968.0,242.0,484.0,alluvial,trans gangetic plain region,wheat
972.0,243.0,486.0,alluvial,trans gangetic plain region,wheat
976.0,244.0,488.0,alluvial,trans gangetic plain region,wheat
980.0,245.0,490.0,alluvial,trans gangetic plain region,wheat
984.0,246.0,492.0,alluvial,trans gangetic plain region,wheat
988.0,247.0,494.0,alluvial,trans gangetic plain region,wheat
992.0,248.0,496.0,alluvial,trans gangetic plain region,wheat
996.0,249.0,498.0,alluvial,trans gangetic plain region,wheat
0.0,0.0,0.0,alluvial,trans gangetic plain region,sugarcane
5.0,2.0,2.0,alluvial,trans gangetic plain region,sugarcane
10.0,4.0,4.0,alluvial,trans gangetic plain region,sugarcane
15.0,6.0,6.0,alluvial,trans gangetic plain region,sugarcane
20.0,8.0,8.0,alluvial,trans gangetic plain region,sugarcane
25.0,10.0,10.0,alluvial,trans gangetic plain region,sugarcane
30.0,12.0,12.0,alluvial,trans gangetic plain region,sugarcane
35.0,14.0,14.0,alluvial,trans gangetic plain region,sugarcane
40.0,16.0,16.0,alluvial,trans gangetic plain region,sugarcane
45.0,18.0,18.0,alluvial,trans gangetic plain region,sugarcane
50.0,20.0,20.0,alluvial,trans gangetic plain region,sugarcane
55.0,22.0,22.0,alluvial,trans gangetic plain region,sugarcane
60.0,24.0,24.0,alluvial,trans gangetic plain region,sugarcane
65.0,26.0,26.0,alluvial,trans gangetic plain region,sugarcane
70.0,28.0,28.0,alluvial,trans gangetic plain region,sugarcane
75.0,30.0,30.0,alluvial,trans gangetic plain region,sugarcane
80.0,32.0,32.0,alluvial,trans gangetic plain region,sugarcane
85.0,34.0,34.0,alluvial,trans gangetic plain region,sugarcane
90.0,36.0,36.0,alluvial,trans gangetic plain region,sugarcane
95.0,38.0,38.0,alluvial,trans gangetic plain region,sugarcane
100.0,40.0,40.0,alluvial,trans gangetic plain region,sugarcane
105.0,42.0,42.0,alluvial,trans gangetic plain region,sugarcane
110.0,44.0,44.0,alluvial,trans gangetic plain region,sugarcane
115.0,46.0,46.0,alluvial,trans gangetic plain region,sugarcane
120.0,48.0,48.0,alluvial,trans gangetic plain region,sugarcane
125.0,50.0,50.0,alluvial,trans gangetic plain region,sugarcane
130.0,52.0,52.0,alluvial,trans gangetic plain region,sugarcane
135.0,54.0,54.0,alluvial,trans gangetic plain region,sugarcane
140.0,56.0,56.0,alluvial,trans gangetic plain region,sugarcane
145.0,58.0,58.0,alluvial,trans gangetic plain region,sugarcane
150.0,60.0,60.0,alluvial,trans gangetic plain region,sugarcane
155.0,62.0,62.0,alluvial,trans gangetic plain region,sugarcane
160.0,64.0,64.0,alluvial,trans gangetic plain region,sugarcane
165.0,66.0,66.0,alluvial,trans gangetic plain region,sugarcane
170.0,68.0,68.0,alluvial,trans gangetic plain region,sugarcane
175.0,70.0,70.0,alluvial,trans gangetic plain region,sugarcane
180.0,72.0,72.0,alluvial,trans gangetic plain region,sugarcane
185.0,74.0,74.0,alluvial,trans gangetic plain region,sugarcane
190.0,76.0,76.0,alluvial,trans gangetic plain region,sugarcane
195.0,78.0,78.0,alluvial,trans gangetic plain region,sugarcane
200.0,80.0,80.0,alluvial,trans gangetic plain region,sugarcane
205.0,82.0,82.0,alluvial,trans gangetic plain region,sugarcane
210.0,84.0,84.0,alluvial,trans gangetic plain region,sugarcane
215.0,86.0,86.0,alluvial,trans gangetic plain region,sugarcane
220.0,88.0,88.0,alluvial,trans gangetic plain region,sugarcane
225.0,90.0,90.0,alluvial,trans gangetic plain region,sugarcane
230.0,92.0,92.0,alluvial,trans gangetic plain region,sugarcane
235.0,94.0,94.0,alluvial,trans gangetic plain region,sugarcane
240.0,96.0,96.0,alluvial,trans gangetic plain region,sugarcane
245.0,98.0,98.0,alluvial,trans gangetic plain region,sugarcane
250.0,100.0,100.0,alluvial,trans gangetic plain region,sugarcane
255.0,102.0,102.0,alluvial,trans gangetic plain region,sugarcane
260.0,104.0,104.0,alluvial,trans gangetic plain region,sugarcane
265.0,106.0,106.0,alluvial,trans gangetic plain region,sugarcane
270.0,108.0,108.0,alluvial,trans gangetic plain region,sugarcane
275.0,110.0,110.0,alluvial,trans gangetic plain region,sugarcane
280.0,112.0,112.0,alluvial,trans gangetic plain region,sugarcane
285.0,114.0,114.0,alluvial,trans gangetic plain region,sugarcane
290.0,116.0,116.0,alluvial,trans gangetic plain region,sugarcane
295.0,118.0,118.0,alluvial,trans gangetic plain region,sugarcane
300.0,120.0,120.0,alluvial,trans gangetic plain region,sugarcane
305.0,122.0,122.0,alluvial,trans gangetic plain region,sugarcane
310.0,124.0,124.0,alluvial,trans gangetic plain region,sugarcane
315.0,126.0,126.0,alluvial,trans gangetic plain region,sugarcane
320.0,128.0,128.0,alluvial,trans gangetic plain region,sugarcane
325.0,130.0,130.0,alluvial,trans gangetic plain region,sugarcane
330.0,132.0,132.0,alluvial,trans gangetic plain region,sugarcane
335.0,134.0,134.0,alluvial,trans gangetic plain region,sugarcane
340.0,136.0,136.0,alluvial,trans gangetic plain region,sugarcane
345.0,138.0,138.0,alluvial,trans gangetic plain region,sugarcane
350.0,140.0,140.0,alluvial,trans gangetic plain region,sugarcane
355.0,142.0,142.0,alluvial,trans gangetic plain region,sugarcane
360.0,144.0,144.0,alluvial,trans gangetic plain region,sugarcane
365.0,146.0,146.0,alluvial,trans gangetic plain region,sugarcane
370.0,148.0,148.0,alluvial,trans gangetic plain region,sugarcane
375.0,150.0,150.0,alluvial,trans gangetic plain region,sugarcane
380.0,152.0,152.0,alluvial,trans gangetic plain region,sugarcane
385.0,154.0,154.0,alluvial,trans gangetic plain region,sugarcane
390.0,156.0,156.0,alluvial,trans gangetic plain region,sugarcane
395.0,158.0,158.0,alluvial,trans gangetic plain region,sugarcane
400.0,160.0,160.0,alluvial,trans gangetic plain region,sugarcane
405.0,162.0,162.0,alluvial,trans gangetic plain region,sugarcane
410.0,164.0,164.0,alluvial,trans gangetic plain region,sugarcane
415.0,166.0,166.0,alluvial,trans gangetic plain region,sugarcane
420.0,168.0,168.0,alluvial,trans gangetic plain region,sugarcane
425.0,170.0,170.0,alluvial,trans gangetic plain region,sugarcane
430.0,172.0,172.0,alluvial,trans gangetic plain region,sugarcane
435.0,174.0,174.0,alluvial,trans gangetic plain region,sugarcane
440.0,176.0,176.0,alluvial,trans gangetic plain region,sugarcane
445.0,178.0,178.0,alluvial,trans gangetic plain region,sugarcane
450.0,180.0,180.0,alluvial,trans gangetic plain region,sugarcane
455.0,182.0,182.0,alluvial,trans gangetic plain region,sugarcane
460.0,184.0,184.0,alluvial,trans gangetic plain region,sugarcane
465.0,186.0,186.0,alluvial,trans gangetic plain region,sugarcane
470.0,188.0,188.0,alluvial,trans gangetic plain region,sugarcane
475.0,190.0,190.0,alluvial,trans gangetic plain region,sugarcane
480.0,192.0,192.0,alluvial,trans gangetic plain region,sugarcane
485.0,194.0,194.0,alluvial,trans gangetic plain region,sugarcane
490.0,196.0,196.0,alluvial,trans gangetic plain region,sugarcane
495.0,198.0,198.0,alluvial,trans gangetic plain region,sugarcane
500.0,200.0,200.0,alluvial,trans gangetic plain region,sugarcane
505.0,202.0,202.0,alluvial,trans gangetic plain region,sugarcane
510.0,204.0,204.0,alluvial,trans gangetic plain region,sugarcane
515.0,206.0,206.0,alluvial,trans gangetic plain region,sugarcane
520.0,208.0,208.0,alluvial,trans gangetic plain region,sugarcane
525.0,210.0,210.0,alluvial,trans gangetic plain region,sugarcane
530.0,212.0,212.0,alluvial,trans gangetic plain region,sugarcane
535.0,214.0,214.0,alluvial,trans gangetic plain region,sugarcane
540.0,216.0,216.0,alluvial,trans gangetic plain region,sugarcane
545.0,218.0,218.0,alluvial,trans gangetic plain region,sugarcane
550.0,220.0,220.0,alluvial,trans gangetic plain region,sugarcane
555.0,222.0,222.0,alluvial,trans gangetic plain region,sugarcane
560.0,224.0,224.0,alluvial,trans gangetic plain region,sugarcane
565.0,226.0,226.0,alluvial,trans gangetic plain region,sugarcane
570.0,228.0,228.0,alluvial,trans gangetic plain region,sugarcane
575.0,230.0,230.0,alluvial,trans gangetic plain region,sugarcane
580.0,232.0,232.0,alluvial,trans gangetic plain region,sugarcane
585.0,234.0,234.0,alluvial,trans gangetic plain region,sugarcane
590.0,236.0,236.0,alluvial,trans gangetic plain region,sugarcane
595.0,238.0,238.0,alluvial,trans gangetic plain region,sugarcane
600.0,240.0,240.0,alluvial,trans gangetic plain region,sugarcane
605.0,242.0,242.0,alluvial,trans gangetic plain region,sugarcane
610.0,244.0,244.0,alluvial,trans gangetic plain region,sugarcane
615.0,246.0,246.0,alluvial,trans gangetic plain region,sugarcane
620.0,248.0,248.0,alluvial,trans gangetic plain region,sugarcane
625.0,250.0,250.0,alluvial,trans gangetic plain region,sugarcane
630.0,252.0,252.0,alluvial,trans gangetic plain region,sugarcane
635.0,254.0,254.0,alluvial,trans gangetic plain region,sugarcane
640.0,256.0,256.0,alluvial,trans gangetic plain region,sugarcane
645.0,258.0,258.0,alluvial,trans gangetic plain region,sugarcane
650.0,260.0,260.0,alluvial,trans gangetic plain region,sugarcane
655.0,262.0,262.0,alluvial,trans gangetic plain region,sugarcane
660.0,264.0,264.0,alluvial,trans gangetic plain region,sugarcane
665.0,266.0,266.0,alluvial,trans gangetic plain region,sugarcane
670.0,268.0,268.0,alluvial,trans gangetic plain region,sugarcane
675.0,270.0,270.0,alluvial,trans gangetic plain region,sugarcane
680.0,272.0,272.0,alluvial,trans gangetic plain region,sugarcane
685.0,274.0,274.0,alluvial,trans gangetic plain region,sugarcane
690.0,276.0,276.0,alluvial,trans gangetic plain region,sugarcane
695.0,278.0,278.0,alluvial,trans gangetic plain region,sugarcane
700.0,280.0,280.0,alluvial,trans gangetic plain region,sugarcane
705.0,282.0,282.0,alluvial,trans gangetic plain region,sugarcane
710.0,284.0,284.0,alluvial,trans gangetic plain region,sugarcane
715.0,286.0,286.0,alluvial,trans gangetic plain region,sugarcane
720.0,288.0,288.0,alluvial,trans gangetic plain region,sugarcane
725.0,290.0,290.0,alluvial,trans gangetic plain region,sugarcane
730.0,292.0,292.0,alluvial,trans gangetic plain region,sugarcane
735.0,294.0,294.0,alluvial,trans gangetic plain region,sugarcane
740.0,296.0,296.0,alluvial,trans gangetic plain region,sugarcane
745.0,298.0,298.0,alluvial,trans gangetic plain region,sugarcane
750.0,300.0,300.0,alluvial,trans gangetic plain region,sugarcane
755.0,302.0,302.0,alluvial,trans gangetic plain region,sugarcane
760.0,304.0,304.0,alluvial,trans gangetic plain region,sugarcane
765.0,306.0,306.0,alluvial,trans gangetic plain region,sugarcane
770.0,308.0,308.0,alluvial,trans gangetic plain region,sugarcane
775.0,310.0,310.0,alluvial,trans gangetic plain region,sugarcane
780.0,312.0,312.0,alluvial,trans gangetic plain region,sugarcane
785.0,314.0,314.0,alluvial,trans gangetic plain region,sugarcane
790.0,316.0,316.0,alluvial,trans gangetic plain region,sugarcane
795.0,318.0,318.0,alluvial,trans gangetic plain region,sugarcane
800.0,320.0,320.0,alluvial,trans gangetic plain region,sugarcane
805.0,322.0,322.0,alluvial,trans gangetic plain region,sugarcane
810.0,324.0,324.0,alluvial,trans gangetic plain region,sugarcane
815.0,326.0,326.0,alluvial,trans gangetic plain region,sugarcane
820.0,328.0,328.0,alluvial,trans gangetic plain region,sugarcane
825.0,330.0,330.0,alluvial,trans gangetic plain region,sugarcane
830.0,332.0,332.0,alluvial,trans gangetic plain region,sugarcane
835.0,334.0,334.0,alluvial,trans gangetic plain region,sugarcane
840.0,336.0,336.0,alluvial,trans gangetic plain region,sugarcane
845.0,338.0,338.0,alluvial,trans gangetic plain region,sugarcane
850.0,340.0,340.0,alluvial,trans gangetic plain region,sugarcane
855.0,342.0,342.0,alluvial,trans gangetic plain region,sugarcane
860.0,344.0,344.0,alluvial,trans gangetic plain region,sugarcane
865.0,346.0,346.0,alluvial,trans gangetic plain region,sugarcane
870.0,348.0,348.0,alluvial,trans gangetic plain region,sugarcane
875.0,350.0,350.0,alluvial,trans gangetic plain region,sugarcane
880.0,352.0,352.0,alluvial,trans gangetic plain region,sugarcane
885.0,354.0,354.0,alluvial,trans gangetic plain region,sugarcane
890.0,356.0,356.0,alluvial,trans gangetic plain region,sugarcane
895.0,358.0,358.0,alluvial,trans gangetic plain region,sugarcane
900.0,360.0,360.0,alluvial,trans gangetic plain region,sugarcane
905.0,362.0,362.0,alluvial,trans gangetic plain region,sugarcane
910.0,364.0,364.0,alluvial,trans gangetic plain region,sugarcane
915.0,366.0,366.0,alluvial,trans gangetic plain region,sugarcane
920.0,368.0,368.0,alluvial,trans gangetic plain region,sugarcane
925.0,370.0,370.0,alluvial,trans gangetic plain region,sugarcane
930.0,372.0,372.0,alluvial,trans gangetic plain region,sugarcane
935.0,374.0,374.0,alluvial,trans gangetic plain region,sugarcane
940.0,376.0,376.0,alluvial,trans gangetic plain region,sugarcane
945.0,378.0,378.0,alluvial,trans gangetic plain region,sugarcane
950.0,380.0,380.0,alluvial,trans gangetic plain region,sugarcane
955.0,382.0,382.0,alluvial,trans gangetic plain region,sugarcane
960.0,384.0,384.0,alluvial,trans gangetic plain region,sugarcane
965.0,386.0,386.0,alluvial,trans gangetic plain region,sugarcane
970.0,388.0,388.0,alluvial,trans gangetic plain region,sugarcane
975.0,390.0,390.0,alluvial,trans gangetic plain region,sugarcane
980.0,392.0,392.0,alluvial,trans gangetic plain region,sugarcane
985.0,394.0,394.0,alluvial,trans gangetic plain region,sugarcane
990.0,396.0,396.0,alluvial,trans gangetic plain region,sugarcane
995.0,398.0,398.0,alluvial,trans gangetic plain region,sugarcane
1000.0,400.0,400.0,alluvial,trans gangetic plain region,sugarcane
1005.0,402.0,402.0,alluvial,trans gangetic plain region,sugarcane
1010.0,404.0,404.0,alluvial,trans gangetic plain region,sugarcane
1015.0,406.0,406.0,alluvial,trans gangetic plain region,sugarcane
1020.0,408.0,408.0,alluvial,trans gangetic plain region,sugarcane
1025.0,410.0,410.0,alluvial,trans gangetic plain region,sugarcane
1030.0,412.0,412.0,alluvial,trans gangetic plain region,sugarcane
1035.0,414.0,414.0,alluvial,trans gangetic plain region,sugarcane
1040.0,416.0,416.0,alluvial,trans gangetic plain region,sugarcane
1045.0,418.0,418.0,alluvial,trans gangetic plain region,sugarcane
1050.0,420.0,420.0,alluvial,trans gangetic plain region,sugarcane
1055.0,422.0,422.0,alluvial,trans gangetic plain region,sugarcane
1060.0,424.0,424.0,alluvial,trans gangetic plain region,sugarcane
1065.0,426.0,426.0,alluvial,trans gangetic plain region,sugarcane
1070.0,428.0,428.0,alluvial,trans gangetic plain region,sugarcane
1075.0,430.0,430.0,alluvial,trans gangetic plain region,sugarcane
1080.0,432.0,432.0,alluvial,trans gangetic plain region,sugarcane
1085.0,434.0,434.0,alluvial,trans gangetic plain region,sugarcane
1090.0,436.0,436.0,alluvial,trans gangetic plain region,sugarcane
1095.0,438.0,438.0,alluvial,trans gangetic plain region,sugarcane
1100.0,440.0,440.0,alluvial,trans gangetic plain region,sugarcane
1105.0,442.0,442.0,alluvial,trans gangetic plain region,sugarcane
1110.0,444.0,444.0,alluvial,trans gangetic plain region,sugarcane
1115.0,446.0,446.0,alluvial,trans gangetic plain region,sugarcane
1120.0,448.0,448.0,alluvial,trans gangetic plain region,sugarcane
1125.0,450.0,450.0,alluvial,trans gangetic plain region,sugarcane
1130.0,452.0,452.0,alluvial,trans gangetic plain region,sugarcane
1135.0,454.0,454.0,alluvial,trans gangetic plain region,sugarcane
1140.0,456.0,456.0,alluvial,trans gangetic plain region,sugarcane
1145.0,458.0,458.0,alluvial,trans gangetic plain region,sugarcane
1150.0,460.0,460.0,alluvial,trans gangetic plain region,sugarcane
1155.0,462.0,462.0,alluvial,trans gangetic plain region,sugarcane
1160.0,464.0,464.0,alluvial,trans gangetic plain region,sugarcane
1165.0,466.0,466.0,alluvial,trans gangetic plain region,sugarcane
1170.0,468.0,468.0,alluvial,trans gangetic plain region,sugarcane
1175.0,470.0,470.0,alluvial,trans gangetic plain region,sugarcane
1180.0,472.0,472.0,alluvial,trans gangetic plain region,sugarcane
1185.0,474.0,474.0,alluvial,trans gangetic plain region,sugarcane
1190.0,476.0,476.0,alluvial,trans gangetic plain region,sugarcane
1195.0,478.0,478.0,alluvial,trans gangetic plain region,sugarcane
1200.0,480.0,480.0,alluvial,trans gangetic plain region,sugarcane
1205.0,482.0,482.0,alluvial,trans gangetic plain region,sugarcane
1210.0,484.0,484.0,alluvial,trans gangetic plain region,sugarcane
1215.0,486.0,486.0,alluvial,trans gangetic plain region,sugarcane
1220.0,488.0,488.0,alluvial,trans gangetic plain region,sugarcane
1225.0,490.0,490.0,alluvial,trans gangetic plain region,sugarcane
1230.0,492.0,492.0,alluvial,trans gangetic plain region,sugarcane
1235.0,494.0,494.0,alluvial,trans gangetic plain region,sugarcane
1240.0,496.0,496.0,alluvial,trans gangetic plain region,sugarcane
1245.0,498.0,498.0,alluvial,trans gangetic plain region,sugarcane
0.0,0.0,0.0,alluvial,trans gangetic plain region,cotton
3.0,0.0,1.0,alluvial,trans gangetic plain region,cotton
6.0,0.0,2.0,alluvial,trans gangetic plain region,cotton
9.0,0.0,3.0,alluvial,trans gangetic plain region,cotton
12.0,0.0,4.0,alluvial,trans gangetic plain region,cotton
15.0,0.0,5.0,alluvial,trans gangetic plain region,cotton
18.0,0.0,6.0,alluvial,trans gangetic plain region,cotton
21.0,0.0,7.0,alluvial,trans gangetic plain region,cotton
24.0,0.0,8.0,alluvial,trans gangetic plain region,cotton
27.0,0.0,9.0,alluvial,trans gangetic plain region,cotton
30.0,0.0,10.0,alluvial,trans gangetic plain region,cotton
33.0,0.0,11.0,alluvial,trans gangetic plain region,cotton
36.0,0.0,12.0,alluvial,trans gangetic plain region,cotton
39.0,0.0,13.0,alluvial,trans gangetic plain region,cotton
42.0,0.0,14.0,alluvial,trans gangetic plain region,cotton
45.0,0.0,15.0,alluvial,trans gangetic plain region,cotton
48.0,0.0,16.0,alluvial,trans gangetic plain region,cotton
51.0,0.0,17.0,alluvial,trans gangetic plain region,cotton
54.0,0.0,18.0,alluvial,trans gangetic plain region,cotton
57.0,0.0,19.0,alluvial,trans gangetic plain region,cotton
